word,occurences
,186
wars,1
expenses,1
spend,1
whatever,4
notification,1
evade,1
consistent,4
applying,1
bible,1
spanish,4
whole,3
sordid,1
meeting,1
general,2
politically,1
benefit,1
1900,2
denounces,1
surrenders,1
terms,1
millions,1
instead,4
supreme,1
moral,5
strives,1
indorsing,1
if,42
times,4
a,190
attracted,1
city,1
reply,1
won,2
master,4
babylon,1
officeholders,1
relies,1
empires,3
selfcongratulation,1
quarters,1
distinction,1
netherlands,1
canada,1
advantage,4
practically,2
still,4
volunteers,2
utilized,1
ability,1
liberty,11
under,5
acts,1
government,45
armed,1
change,2
way,2
son,1
line,2
singly,1
against,15
attempting,1
bondage,1
organized,1
money,4
bold,1
unfortunate,1
asiatics,1
majority,3
asked,5
endowed,1
nomination,1
thyself,1
here,3
and,252
subterfuge,1
gold,1
extinguished,1
treatment,1
legislation,4
sphere,1
ago,2
ultimately,1
has,45
between,11
paid,1
are,69
fortyfive,1
individual,1
fulfillment,1
difficulty,1
bequeathed,1
guard,2
former,3
tread,1
rooted,1
often,3
no,36
ward,1
passing,1
cuban,1
also,3
application,3
agitating,1
themselves,5
differ,1
tourist,1
little,1
same,8
opponents,6
farmers,1
considerations,1
tariff,1
rather,1
concession,1
popular,2
necessarily,2
how,7
carried,1
must,17
capital,1
greater,1
morality,1
accompanied,1
evidence,2
truth,4
militarism,2
boasting,1
republic,22
heat,1
africa,1
we,77
upon,49
report,1
right,22
ills,1
formerly,2
gun,1
member,2
killing,1
success,2
trade,18
slain,1
applauded,1
chapultepec,1
laboring,3
franchises,1
rule,4
the,785
largest,3
secure,6
governments,3
submit,3
erect,1
filipino,3
like,1
oriental,2
progress,5
monarchy,4
every,18
entrusted,2
domination,4
doubt,1
immediately,1
brought,4
compelling,1
plan,2
conduct,2
immoral,2
inanimate,1
spirit,6
small,6
taxation,2
organizations,1
require,1
british,1
strictly,1
ground,2
furnishes,1
cordial,1
portion,1
degrees,1
taskmasters,1
partisan,1
could,6
declared,6
